epoch,cumulated_reward
0,48225.0
1,99805.0
2,99805.0
3,99805.0
4,99805.0
5,99805.0
6,99805.0
7,99805.0
8,99805.0
9,99805.0
10,99805.0
11,99805.0
12,99805.0
13,99805.0
14,99805.0
15,99805.0
16,99805.0
17,99805.0
18,99805.0
19,99805.0
20,99805.0
21,99805.0
22,99805.0
23,99805.0
24,99805.0
25,99805.0
26,99805.0
27,99805.0
28,99805.0
29,99805.0
30,99805.0
31,99805.0
32,99805.0
33,99805.0
34,99805.0
35,99805.0
36,99805.0
37,99805.0
38,99805.0
39,99805.0
40,99805.0
41,99805.0
42,99805.0
43,99805.0
44,99805.0
45,99805.0
46,99805.0
47,99805.0
48,99805.0
49,99805.0
50,99805.0
